Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image,Review_preprocessed,clean stopword
Ambhara Meeting Room,https://ambharahotel.com/meetings/,212700888,Meeting room,5,4.4,106.803342,-6.243314,Yes,Yes,Yes,No,Yes,Yes,200000,20,Medium,Jl. Iskandarsyah II. RT.5/RW.2. Melawai. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12160,Jakarta Selatan,"Karena letak strategis didepan terminal blok dan pusat belanja Pasaraya, Ruangan nyaman Snack nya juga enak Pelayan dan teknisi cukup sigap melayani tamu, Bagus",1.jpg,karena letak strategis didepan terminal blok dan pusat belanja pasaraya ruangan man snack juga enak pelayan dan teknisi cukup sigap melayani tamu bagus,letak strategis terminal blok pusat belanja pasaraya ruang man snack layan teknisi sigap layan tamu bagus
Regus - Jakarta. The Vida,http://regus.com,2129778000,Office space rental agency,8,4.5,106.7595579,-6.1912112,Yes,Yes,No,No,No,Yes,190000,20,Medium,Jl. Raya Pejuangan No. 8 The Vida 7th floor. RT.1/RW.7. Kebon Jeruk. Kebonjeruk. West Jakarta City. Jakarta 11530,Jakarta Barat,"Ruangan bersih, nyaman serta pelayananya ramah, Great Office in West Java, wifi cepat, bersih dan nyaman, tampatnya terbuka, suasananya menyenangkan, ruang bersamanya bagus, staffnya sangat membantu, ruang meetingnya baik, ruangan bersih dan tidak berisik",2.jpg,ruangan bersih man serta pelayana ramah great office in west java wifi cepat bersih dan man tampat terbuka suasana menyenangkan ruang bersama bagus staff sangat membantu ruang meeting baik ruangan bersih dan tidak berisik,ruang bersih man pelayana ramah great office in west java wifi cepat bersih man tampat buka suasana senang ruang bagus staff bantu ruang meeting ruang bersih berisik
Wellspaces Kemang Coworking Space & Serviced Office,http://wellspaces.co,81318391205,Coworking space,345,4.6,106.8134905,-6.254505,No,Yes,Yes,No,No,No,150000,15,Small,Jl. Bangka XII No.4. RT.2/RW.7. Pela Mampang. Kec. Mampang Prpt.. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12720,Jakarta Selatan,"Tempatnya asik, ke sini karena ada event ngumpulnya para start up jadi biar bisa sharing, Welspace kemang tempat nya mantep buat ngantor pokoknya sip, space buat parkir juga luas, Tempat yang bagus untuk bekerja Komunitas yang sangat nyaman, hidup dan konstruktif, Nyaman, Lokasi Strategis, Fasilitas Lengkap, Tempat kerja bersama yang sangat baik, Sinyal wifi kuat. Berbagai makanan ringan tersedia. Tempat parkir luas, cocok buat startup, Sekarang akses kesini, bisa dengan transjakarta loh, Tempat yang bagus untuk memulai startup Anda, space buat parkir juga luas, ",3.jpg,tempat asik ke sini karena ada event ngumpul para start up jadi biar bisa sharing welspace kemang tempat mantep buat ngantor pokok sip space buat parkir juga luas tempat yang bagus untuk bekerja komunitas yang sangat man hidup dan konstruktif man lokasi strategis fasilitas lengkap tempat kerja bersama yang sangat baik sil wifi kuat berbagai makanan ringan tersedia tempat parkir luas cocok buat startup sekarang akses kesini bisa dengan transjakarta loh tempat yang bagus untuk memulai startup anda space buat parkir juga luas,asik event ngumpul start up biar sharing welspace kemang mantep ngantor pokok sip space parkir luas bagus komunitas man hidup konstruktif man lokasi strategis fasilitas lengkap sil wifi kuat makan ringan sedia parkir luas cocok startup akses kesini transjakarta loh bagus startup space parkir luas
US Coworking Space - PIK Avenue,http://betterwithus.id,8111085505,Coworking space,7496,4.3,106.7403778,-6.1097177,Yes,No,No,No,No,No,95000,12,Small,PIK Avenue. Level 6. Jl. Pantai Indah Kapuk. RT.6/RW.2. Kamal Muara. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14470,Jakarta Utara,"Tempatnya sepi enak buat kerja wifinya juga kencang untuk ukuran kantoran jadi mau doownload cepat juga,  Akses menuju mall bagus, Parkiran luas,  Pemandangan bagus,  Tempatnya tenang, enak buat ngerjain tugas atau kerjaan.. WiFi kencang, ada semacam kedai kopi, Unionspace memiliki banyak ruang kerja kantor yang bisa pribadi atau tim, tempatnya nyaman dan ada semacam bar untuk memesan kopi atau minuman lainnya, Parkiran tidak rapi karena makin siang makin penuh,  parkiran di basement dibikin paralel jadi lama2in, Parkiran mudah dapet ya, tinggal naik ajah ke atas, byk yg kosong loh, Parkir mobil gedung, jalan naiknya sempit jadi siap2 buat mobil gede, ga ada parkiran pas Jumat malem,  parkiran waktu itu kesana sih gak susah cari, diskriminasi utk parkir motor, pelayanan seadanya",4.jpg,tempat sepi enak buat kerja wifi juga kencang untuk ukuran kantoran jadi mau doownload cepat juga akses menuju mall bagus parkiran luas pemandangan bagus tempat tenang enak buat ngerjain tugas atau kerjaan wifi kencang ada semacam kedai kopi unionspace memiliki bak ruang kerja kantor yang bisa pribadi atau tim tempat man dan ada semacam bar untuk memesan kopi atau minuman lain parkiran tidak rapi karena makin siang makin penuh parkiran di basement dibikin paralel jadi lama in parkiran mudah dapet ya tinggal naik ajah ke atas byk yg kosong loh parkir mobil gedung jalan naik sempit jadi siap buat mobil gede ga ada parkiran pas jumat malem parkiran waktu itu kesana sih gak susah cari diskriminasi utk parkir motor pelayanan seada,sepi wifi kencang ukur kantor doownload cepat akses mall bagus parkir luas pandang bagus tenang ngerjain tugas wifi kencang kedai kopi unionspace milik bak ruang kantor pribadi tim man bar mes kopi minum parkir rapi siang penuh parkir basement bikin paralel in parkir mudah dapet tinggal ajah byk yg kosong loh parkir mobil gedung jalan sempit mobil gede ga parkir pas jumat malem parkir kesana sih gak susah cari diskriminasi utk parkir motor layan
MARQUEE - Equity Tower,http://marqueeoffices.com,2175999999,Office space rental agency,198,4.4,106.8086606,-6.2268442,Yes,Yes,Yes,Yes,No,Yes,250000,20,Medium,Equity Tower Building 35-37th floor. Jl. Jend. sudirman kav 52-53. RT.5/RW.3. Senayan. SCBD. South Jakarta City. Jakarta 12190,Jakarta Selatan,"Nice looking,  bersih aman sudah pasti,  yg luar biasa akses lift gak ribet sampai lantai 49, Nice Office,Nice View. Trouble hanya di sinyal hp, Kantornya bagus dan bersih, keamanan bagus sekali, Banyak fasilitas untuk menunjang kinerja perkantoran, Bagus dan strategis, Tmptnya bagus dan bersih, Pusat kawasan perkantoran di kawasan SCBD Sudirman Jakpus, ",5.jpg,nice looking bersih aman sudah pasti yg luar biasa akses lift gak ribet sampai lantai nice office nice view trouble ha di sil hp kantor bagus dan bersih keamanan bagus sekali bak fasilitas untuk menunjang kinerja perkantoran bagus dan strategis tmpt bagus dan bersih pusat kawasan perkantoran di kawasan scbd sudirman jakpus,nice looking bersih aman yg akses lift gak ribet lantai nice office nice view trouble ha sil hp kantor bagus bersih aman bagus bak fasilitas tunjang kantor bagus strategis tmpt bagus bersih pusat kawasan kantor kawasan scbd sudirman jakpus
GoWork Plaza Indonesia - Coworking and Office Space,http://go-work.com,2129922823,Coworking space,170,4.8,106.8218765,-6.1925892,Yes,Yes,No,Yes,No,No,130000,7,Small,Plaza Indonesia. Level 5 Unit E021AB. Jl. M.H. Thamrin No.Kav. 28-30. Daerah Khusus Ibukota Jakarta 10350,Jakarta Pusat,"ruang meeting yang didesain menarik, perencanaan yang fleksibel, mesin pencetak, ruang acara eksklusif dan workshop, hingga makanan dan minuman,  Ke sini buat ngungsi virtual meeting karena kantor lagi tutup. Tempatnya nyaman banget..millenial banget.. free teh, kopi, dan air putih, tp self service, tempat ini juga cocok untuk mengadakan konferensi ataupun pertemuan (meeting). Lokasinya cukup strategis, dapat dijangkau dengan Transjakarta & MRT Jakarta, Bagus banget nih kantornya, saya sewa room meeting dan fasilitasnya bagus banget.. semuanya siap membantu dari karyawan hingga OB nya.. good job, Nyaman untuk meeting & bekerja, Protokol kesehatan ketat, Tempatnya keren, sangat strategis, akses mudah dan recomended banget deh pokonya buat kerja, nyaman dan asik bgt",6.jpg,ruang meeting yang didesain menarik perencanaan yang fleksibel mesin pencetak ruang acara eksklusif dan workshop hingga makanan dan minuman ke sini buat ngungsi virtual meeting karena kantor lagi tutup tempat man banget millenial banget free teh kopi dan air putih tp self service tempat ini juga cocok untuk mengadakan konferensi ataupun pertemuan meeting lokasi cukup strategis dapat dijangkau dengan transjakarta mrt jakarta bagus banget nih kantor saya sewa room meeting dan fasilitas bagus banget semua siap membantu dari karyawan hingga ob good job man untuk meeting bekerja protokol kesehatan ketat tempat keren sangat strategis akses mudah dan recomended banget deh poko buat kerja man dan asik bgt,ruang meeting desain tarik rencana fleksibel mesin cetak ruang acara eksklusif workshop makan minum ngungsi virtual meeting kantor tutup man banget millenial banget free teh kopi air putih tp self service cocok konferensi temu meeting lokasi strategis jangkau transjakarta mrt jakarta bagus banget nih kantor sewa room meeting fasilitas bagus banget bantu karyawan ob good job man meeting protokol sehat ketat keren strategis akses mudah recomended banget deh poko man asik bgt
Apiary Coworking Space (Puri),http://apiary.id,2130497711,Event venue,162,4.6,106.7385123,-6.1885088,Yes,Yes,Yes,Yes,No,No,150000,12,Small,Lippo St. Moritz Office Tower (Floor 9. Unit 901. Jl. Puri Indah Raya. RT.1/RW.2. South Kembangan. Kembangan. West Jakarta City. Jakarta 11610,Jakarta Barat,"fasilitanya cukup lengkap ada wifi , proyektor , TV, dan sebagainya, Nyaman untuk bekerja. Ada beberapa ruang tertutup, bisa digunakan untuk meeting maupun training, dilengkap dengan sarana yang diperlukan, seperti Layar, LCD Proyektor, Flipchart , Tempat yang bagus untuk bekerja. Mudah diakses. Memiliki WiFi dan minuman. Dan berbiaya rendah, Tempat yang bagus. Lingkungan yang bagus, Suasana tempat nyaman, begitu dekat dengan Mall tetapi sulit untuk menemukan masjid, Ruang kerja bersama yang nyaman, terintegrasi dengan mal besar",7.jpg,fasilita cukup lengkap ada wifi proyektor tv dan sebagai man untuk bekerja ada beberapa ruang tertutup bisa digunakan untuk meeting maupun training dilengkap dengan sarana yang diperlukan seperti layar lcd proyektor flipchart tempat yang bagus untuk bekerja mudah diakses memiliki wifi dan minuman dan berbiaya rendah tempat yang bagus lingkungan yang bagus suasana tempat man begitu dekat dengan mall tetapi sulit untuk menemukan masjid ruang kerja bersama yang man terintegrasi dengan mal besar,fasilita lengkap wifi proyektor tv man ruang tutup meeting training lengkap sarana layar lcd proyektor flipchart bagus mudah akses milik wifi minum biaya rendah bagus lingkung bagus suasana man mall sulit temu masjid ruang man integrasi mal
MULA by Galeria Jakarta,http://mulaindonesia.com,8111123423,Coworking space,505,4.7,106.799757,-6.291122,Yes,Yes,No,No,No,No,70000,5,Small,Jl. T.B. Simatupang Kav. 17. Cilandak Barat. RT.2/RW.1. Cilandak. RT.6/RW.9. Cilandak Bar.. Kec. Cilandak. Daerah Khusus Ibukota Jakarta 12430,Jakarta Selatan,"bagi yg perlu bisnis, rapat dlsb dgn ruang rapat, kantor virtual, Mula mjd salah satu pilihan..strategis lokasinya di Citos, Terletak di dekat tempat parkir, ada beberapa konsep ruang meeting yang sesuai dengan jumlah peserta meeting. Banyak ruang khusus yang bisa dijadikan tempat seminar , Tempat meet up yg strategis dgn fasilitas yg memadai dan harga wajar. Banyak orang sering ke Citos, tapi tidak tahu kalau ada ruang pertemuan dgn berbagai ukuran (4-70 orang). Parkir luas dan banyak kuliner pendukung, Tempat yang menyenangkan untuk bertemu dan bekerja. Banyak tempat parkir luas, Musala terletak di dekat parkir mobil, Parkir luas dan banyak kuliner pendukung, Tempat yang mudah ditemukan karena berada di dekat dengan parkir kendaran di citos, Tempat yang bagus untuk bekerja dan hangout pada saat yang sama, banyak tempat parkir",8.jpg,bagi yg perlu bisnis rapat dlsb dgn ruang rapat kantor virtual mula mjd salah satu pilihan strategis lokasi di citos terletak di dekat tempat parkir ada beberapa konsep ruang meeting yang sesuai dengan jumlah peserta meeting bak ruang khusus yang bisa dijadikan tempat seminar tempat meet up yg strategis dgn fasilitas yg memadai dan harga wajar bak orang sering ke citos tapi tidak tahu kalau ada ruang pertemuan dgn berbagai ukuran orang parkir luas dan bak kuliner pendukung tempat yang menyenangkan untuk bertemu dan bekerja bak tempat parkir luas musala terletak di dekat parkir mobil parkir luas dan bak kuliner pendukung tempat yang mudah ditemukan karena berada di dekat dengan parkir kendaran di citos tempat yang bagus untuk bekerja dan hangout pada saat yang sama bak tempat parkir,yg bisnis rapat dlsb dgn ruang rapat kantor virtual mjd salah pilih strategis lokasi citos letak parkir konsep ruang meeting sesuai meeting bak ruang seminar meet up yg strategis dgn fasilitas yg harga wajar bak citos ruang temu dgn ukur parkir luas bak kuliner dukung senang temu bak parkir luas musala letak parkir mobil parkir luas bak kuliner dukung mudah temu parkir kendaran citos bagus hangout bak parkir
GoWork Pacific Place - Coworking and Office Space,http://go-work.com,215152000,Coworking space,224,4.7,106.8099103,-6.224618,Yes,Yes,No,Yes,No,No,130000,20,Medium,Pacific Place Mall. Level 1. Jl. Jenderal Sudirman Jl. Scbd No.52-53. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"tempatnya sangat cozy untuk mengadakan meeting dan event,facilitas yang di sediakan juga lengkap sangat recommend,  Tempat yang nyaman untuk meeting, SANGAT SANGAT MEREKOMENDASIKAN UNTUK TINGGAL selama sehari dan tetap fokus untuk rapat. wifi sangat cepat ️ Sangat Senang, empat utama, mudah dijangkau. Wi-Fi super. Tempat yang strategis. Harga yang wajar",9.jpg,tempat sangat cozy untuk mengadakan meeting dan event facilitas yang di sediakan juga lengkap sangat recommend tempat yang man untuk meeting sangat sangat merekomendasikan untuk tinggal selama sehari dan tetap fokus untuk rapat wifi sangat cepat sangat senang empat utama mudah dijangkau wi fi super tempat yang strategis harga yang wajar,cozy meeting event facilitas sedia lengkap recommend man meeting rekomendasi tinggal fokus rapat wifi cepat senang utama mudah jangkau wi fi super strategis harga wajar
GoWork Setiabudi,http://go-work.com,2129264178,Coworking space,147,4.6,106.8300604,-6.216292,Yes,Yes,No,Yes,No,No,130000,20,Medium,Setiabudi 2 Building. Ground. Jl. H. R. Rasuna Said No.Kav. 62. RT.6/RW.7. Kuningan. Karet Kuningan. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12920,Jakarta Selatan,"Bersih, nyaman, dan tenang. Udah gitu sekelilingnya rame banget kan karena di setiabudi one. Overall gue recommend ini tempat buat kalian yg pengen kerja sambil nyantai, Tempat bekerja yang nyaman. Ada ruang pribadi kecil tertutup yang bisa digunakan untuk kepentingan rapat. Petugas ramah, Tempatnya nyaman untuk meeting,bersih dan staffnya helpfull, untuk staff front desk dimohon lebih ramah, sama sekali tidak ada senyum. Terkesan jutek. Staff front desk laki laki dan perempuan sama-sama jutek, tidak senyum sama sekali, Ruangan nya lumayan bagus, modern dan memadai utk pertemuan",10.jpg,bersih man dan tenang udah gitu sekeliling rame banget kan karena di setiabudi one overall gue recommend ini tempat buat kalian yg pengen kerja sambil ntai tempat bekerja yang man ada ruang pribadi kecil tertutup yang bisa digunakan untuk kepentingan rapat petugas ramah tempat man untuk meeting bersih dan staff helpfull untuk staff front desk dimohon lebih ramah sama sekali tidak ada senyum terkesan jutek staff front desk laki laki dan perempuan sama sama jutek tidak senyum sama sekali ruangan lumayan bagus modern dan memadai utk pertemuan,bersih man tenang udah gitu keliling rame banget setiabudi one overall gue recommend yg ken ntai man ruang pribadi tutup rapat tugas ramah man meeting bersih staff helpfull staff front desk ramah senyum kes jutek staff front desk laki laki perempuan jutek senyum ruang lumayan bagus modern utk temu
